highshift: (milli*1000)225
highr: (*1000)960
0;0
0;0
9;96
205;203
115;42
0;0
0;0
14;97
205;203
111;36
0;0
0;0
0;79
198;205
150;84
0;0
0;0
0;35
177;199
166;103
0;0
0;0
0;38
179;202
164;100
0;0
0;0
0;18
157;194
185;128
0;0
0;0
0;0
130;180
204;162
18;0
0;0
0;0
108;169
205;167
14;0
0;0
0;0
114;170
205;164
9;0
0;0
0;0
83;149
213;188
72;0
0;0
0;0
18;104
208;202
106;33
0;0
0;0
25;106
209;202
106;30
0;0
0;0
2;89
198;205
133;65
0;0
0;0
0;55
183;197
167;106
0;0
0;0
0;24
170;199
173;114
0;0
0;0
0;28
172;197
171;110
0;0
0;0
0;7
148;190
190;138
0;0
0;0
0;0
120;174
203;162
3;0
0;0
0;0
124;176
202;159
0;0
0;0
0;0
115;171
205;164
9;0
0;0
0;0
83;150
212;188
70;0
0;0
0;0
49;125
212;196
80;7
0;0
0;0
52;128
212;195
76;5
0;0
0;0
29;110
209;194
97;25
0;0
0;0
0;81
196;205
138;70
0;0
0;0
0;72
197;204
141;67
0;0
0;0
0;76
198;205
133;62
0;0
0;0
0;59
183;203
168;106
0;0
0;0
0;11
152;195
180;126
0;0
0;0
0;15
165;197
179;122
0;0
0;0
0;0
139;185
195;146
0;0
0;0
0;0
106;166
209;176
30;0
0;0
0;0
101;161
209;173
26;0
0;0
0;0
105;165
210;171
22;0
0;0
0;0
70;141
212;193
73;10
0;0
0;0
1;93
211;203
116;45
0;0
0;0
8;97
206;203
113;41
0;0
0;0
0;77
194;206
142;76
0;0
0;0
0;46
176;201
175;115
0;0
0;0
0;26
172;213
173;112
0;0
0;0
0;29
173;202
170;109
0;0
0;0
0;8
149;190
189;137
0;0
0;0
0;0
121;176
207;160
3;0
0;0
0;0
125;176
202;158
0;0
0;0
0;0
105;164
208;170
22;0
0;0
0;0
71;141
212;192
80;11
0;0
0;0
37;107
210;198
92;19
0;0
0;0
40;117
211;193
88;16
0;0
0;0
22;100
207;208
109;37
0;0
0;0
0;69
192;204
148;97
0;0
0;0
0;61
192;202
145;78
0;0
0;0
0;64
193;205
143;75
0;0
0;0
0;44
176;201
175;117
0;0
0;0
0;0
154;191
188;134
0;0
0;0
0;3
155;204
186;131
0;0
0;0
0;0
128;178
200;156
0;0
0;0
0;0
97;160
212;181
57;0
0;0
0;0
74;144
212;185
54;0
0;0
0;0
79;146
212;184
50;0
0;0
0;0
46;121
210;197
84;12
0;0
0;0
7;104
201;205
127;58
0;0
0;0
0;85
200;205
124;54
0;0
0;0
0;77
193;205
142;84
0;0
0;0
0;45
171;200
175;111
0;0
0;0
0;13
162;192
177;122
0;0
0;0
0;16
