0.831,0.528
0,0
0,0
0,0
0,0.381
0.85,0.973
0.919,0.709
0.171,0
0,0
0,0
0,0.171
0.694,0.894
1.041,0.85
0.396,0.039
0,0
0,0
0,0
0.494,0.743
1.036,0.943
0.606,0.259
0,0
0,0
0,0
0.269,0.63
0.987,0.987
0.787,0.474
0,0
0,0
0,0
0.073,0.445
0.89,0.987
0.919,0.66
0.088,0
0,0
0,0
0,0.239
0.738,0.934
1.002,0.811
0.283,0
0,0
0,0
0,0.02
0.543,0.826
1.036,0.894
0.552,0.2
0,0
0,0
0,0
0.332,0.684
0.885,0.987
0.733,0.425
0,0
0,0
0,0
0.098,0.499
0.919,1.031
0.89,0.611
0.02,0
0,0
0,0
0,0.293
0.787,0.943
0.987,0.772
0.259,0
0,0
0,0
0,0.083
0.611,0.85
1.031,0.894
0.479,0.137
0,0
0,0
0,0
0.401,0.728
1.022,0.978
0.684,0.357
0,0
0,0
0,0
0.171,0.547
0.953,0.997
0.846,0.557
0,0
0,0
0,0
0,0.357
0.831,0.968
0.924,0.728
0.117,0
0,0
0,0
0,0.142
0.665,0.914
1.017,0.87
0.425,0.073
0,0
0,0
0,0
0.464,0.767
1.026,0.958
0.63,0.288
0,0
0,0
0,0
0.239,0.606
0.978,0.992
0.802,0.503
0,0
0,0
0,0
0,0.411
0.87,0.982
0.948,0.684
0.122,0
0,0
0,0
0,0.21
0.723,0.919
1.012,0.821
0.357,0.005
0,0
0,0
0,0
0.523,0.811
1.031,0.89
0.577,0.23
0,0
0,0
0,0
0.313,0.66
1.002,1.002
0.758,0.445
0,0
0,0
0,0
0.054,0.474
0.909,0.992
0.899,0.63
0.054,0
0,0
0,0
0,0.264
0.772,0.948
0.997,0.797
0.283,0
0,0
0,0
0,0.049
0.601,0.846
1.031,0.88
0.513,0.166
0,0
0,0
0,0
0.371,0.699
1.017,0.978
0.699,0.381
0,0
0,0
0,0
0.132,0.518
0.948,0.997
0.86,0.582
0,0
0,0
0,0
0,0.337
0.811,0.943
0.973,0.753
0.225,0
0,0
0,0
0,0.117
0.645,0.875
1.026,0.88
0.455,0.112
0,0
0,0
0,0
0.43,0.748
1.026,0.968
0.645,0.318
0,0
0,0
0,0
0.21,0.587
0.963,0.997
0.841,0.528
0,0
0,0
0,0
0,0.386
0.85,0.978
0.948,0.704
0.156,0
0,0
0,0
0,0.176
0.699,0.904
1.022,0.85
0.376,0.034
0,0
0,0
0,0
0.499,0.806
1.031,0.924
0.601,0.259
0,0
0,0
0,0
0.274,0.635
0.992,0.992
0.782,0.425
0,0
0,0
0,0
0.034,0.45
0.89,0.987
0.909,0.66
0.049,0
0,0
0,0
0,0.244
0.743,0.943
1.002,0.811
0.323,0
0,0
0,0
0,0.02
0.557,0.831
1.036,0.963
0.543,0.196
0,0
0,0
0,0
0.362,0.684
1.007,0.992
0.728,0.411
0,0
0,0
0,0
0.103,0.503
0.929,0.997
0.885,0.621
0.015,0
0,0
0,0
0,0.293
0.792,0.953
0.982,0.772
0.254,0
0,0
0,0
0,0.083
0.616,0.86
1.026,0.894
0.484,0.127
0,0
0,0
0,0
0.411,0.728
1.022,0.968
0.679,0.352
0,0
0,0
0,0
0.239,0.557
0.958,0.997
0.811,0.552
0,0
0,0
0,0
0,0.396
0.841,0.973
0.958,0.694
0.186,0
0,0
0,0
0,0.147
0.67,0.894
1.017,0.865
0.42,0.064
0,0
0,0
0,0
0.415,0.772
1.031,0.953
0.626,0.288
0,0
0,0
0,0
0.239,0.606
0.978,0.997
0.758,0.494
0,0
0,0
0,0
0,0.42
0.875,0.982
0.934,0.684
0.117,0
0,0
0,0
0,0.215
0.723,0.919
1.002,0.826
0.352,0
0,0
0,0
0,0
0.528,0.811
1.017,0.934
0.572,0.205
0,0
0,0
0,0
0.327,0.66
0.997,0.982
0.758,0.435
0,0
0,0
0,0
0.064,0.469
0.909,1.002
0.899,0.621
0.044,0
0,0
0,0
0,0.274
0.772,0.943
0.992,0.787
0.318,0
0,0
0,0
0,0.088
0.591,0.802
1.026,0.904
0.503,0.161
0,0
0,0
0,0
0.371,0.709
1.007,0.978
0.704,0.381
0,0
0,0
0,0
0.137,0.533
0.88,0.992
0.86,0.582
0,0
0,0
0,0
0,0.318
0.811,0.963
0.973,0.748
0.22,0
0,0
0,0
0,0.112
0.64,0.875
1.031,0.88
0.45,0.093
0,0
0,0
0,0
0.43,0.748
1.031,0.958
0.645,0.342
0,0
0,0
0,0
0.205,0.582
0.968,0.997
0.811,0.513
0,0
0,0
0,0
